"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 81)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 82)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 83)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 84)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 85)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 86)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 87)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 88)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 89)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 90)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 91)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 92)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 93)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 94)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 95)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 96)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 97)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 98)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 99)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 100)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 101)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 102)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(1, 103)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 104)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 105)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 106)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 107)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 108)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 109)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 110)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 111)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 112)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 113)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 114)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 115)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 116)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 117)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 118)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 119)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(1, 120)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 121)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 122)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 123)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 124)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 125)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 126)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 127)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 128)",2022,01,BUKIT PANJANG,474,128,Premium Apartment,2003,3906
"(1, 129)",2022,01,CHOA CHU KANG,542,131,Model A,1995,4008
"(1, 130)",2022,01,CHOA CHU KANG,542,131,Model A,1995,4008
"(1, 131)",2022,01,CHOA CHU KANG,542,131,Model A,1995,4008
"(1, 132)",2022,01,CHOA CHU KANG,507,134,Model A,1994,4015
"(1, 133)",2022,01,CHOA CHU KANG,507,134,Model A,1994,4015
"(1, 134)",2022,01,CHOA CHU KANG,507,134,Model A,1994,4015
"(1, 135)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 136)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 137)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 138)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 139)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 140)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 141)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 142)",2022,01,CHOA CHU KANG,453,142,Premium Apartment,2000,4225
"(1, 143)",2022,01,CHOA CHU KANG,274,148,Apartment,1993,4257
"(1, 144)",2022,01,CHOA CHU KANG,274,148,Apartment,1993,4257
"(1, 145)",2022,01,CHOA CHU KANG,274,148,Apartment,1993,4257
"(1, 146)",2022,01,CHOA CHU KANG,274,148,Apartment,1993,4257
"(1, 147)",2022,01,CHOA CHU KANG,274,148,Apartment,1993,4257
"(1, 148)",2022,01,CHOA CHU KANG,274,148,Apartment,1993,4257
"(1, 149)",2022,01,CHOA CHU KANG,108,154,Maisonette,1989,4351
"(1, 150)",2022,01,CHOA CHU KANG,108,154,Maisonette,1989,4351
"(2, 80)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 81)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 82)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 83)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 84)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 85)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 86)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 87)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 88)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 89)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(2, 90)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 91)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 92)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 93)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 94)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 95)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 96)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 97)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 98)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 99)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 100)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 101)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 102)",2022,01,BUKIT PANJANG,449,102,Model A,1997,3608
"(2, 103)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
"(2, 104)",2022,01,CHOA CHU KANG,12,119,Improved,1979,3782
